"Data Source,""World Development Indicators"","

"Last Updated Date,""2024-03-28"","

"""Country Name"",""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"",""2023"""
"Aruba,""ABW"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Africa Eastern and Southern,""AFE"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""9.15377357747643"",""16.9151386464691"",""19.5903450034248"",""31.5170689768537"",""35.4539564809114"",""40.3811397910444"",""45.2520828879089"",""49.1886984122516"",""52.6527270879827"",""57.2662246940505"",""59.2338617257653"",""53.8527137352779"",""53.9016104843865"",""56.3126378760246"",""61.136734003564"",""58.0846667295599"",""59.7651787699777"",""59.0468377209249"",""56.9922980798515"",""53.5881653707096"",""57.687494972282"",""58.0629548985439"",""59.9988699615546"",""61.638240970224"",""63.4240099426451"",""63.5606676917447"",""66.5685078424748"",""70.2068405817474"",""70.6956186323249"",""73.3848091470353"",""75.9322373161874"",""76.1763958281607"",""77.143241103498"",""75.813659922654"",""76.1173427879063"",""74.965387595741"",""73.3242589142981"",""74.0145591174393"",""74.0748710322808"",""74.8617755169929"",""73.2455010036823"",""69.447704623326"",""70.700808266837"","""","
"Afghanistan,""AFG"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""11"","""",""8"",""9"",""14"",""14"",""14"",""31"",""34"",""22"",""20"",""19"",""22"",""25"",""40"",""41"",""42"",""38"",""31"",""31"",""27"",""37"",""35"",""39"",""48"",""50"",""53"",""55"",""59"",""60"",""62"",""64"",""59"",""57"",""60"",""62"",""64"",""67"",""71"",""64"",""66"",""63"",""68"","""","
"Africa Western and Central,""AFW"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.21335831118018"",""5.30788328888885"",""6.00982692926607"",""5.84499483750613"",""12.4051673382221"",""21.4825439020083"",""31.0669292411383"",""35.9087625527703"",""42.5006478474464"",""51.9533646790516"",""52.89060865637"",""52.7449036796801"",""44.8695962908688"",""43.3466425894548"",""44.5870697717881"",""48.1424550362383"",""44.8756808524549"",""44.8900026337499"",""43.7381792712035"",""44.4077346124978"",""44.6079858241981"",""44.6007127306269"",""44.8346934818585"",""48.642423742525"",""51.1360979497902"",""55.3260893160372"",""57.4944916868046"",""56.983678657327"",""62.2477854202644"",""68.410932658806"",""65.4287819112844"",""61.6417083621304"",""60.4767704075359"",""59.7986545424888"",""59.1393375017175"",""58.7973703116846"",""61.4606110852895"",""64.2239641339207"",""64.7145940946056"",""65.7517653980896"",""65.4400282080101"",""66.6463610155176"",""65.780375818597"","""","
"Angola,""AGO"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""26"",""35"",""44"",""44"",""55"",""56"",""48"",""38"",""39"",""39"",""47"",""44"",""46"",""62"",""78"",""59"",""40"",""32"",""60"",""59"",""44"",""43"",""21"",""21"",""58"",""48"",""46"",""62"",""57"",""65"",""59"",""56"",""51"",""45"",""42"",""50"",""51"",""44"",""36"",""37"","""","
"Albania,""ALB"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""90"",""90"",""93"",""96"",""96"",""96"",""96"",""96"",""96"",""96"",""88"",""80"",""87"",""76"",""90"",""91"",""92"",""95"",""89"",""85"",""95"",""95"",""96"",""93"",""96"",""97"",""95"",""97"",""98"",""97"",""99"",""99"",""98"",""99"",""98"",""97"",""96"",""96"",""94"",""95"",""91"",""87"",""86"","""","
"Andorra,""AND"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""90"",""90"",""97"",""97"",""97"",""98"",""96"",""98"",""94"",""91"",""94"",""98"",""98"",""99"",""99"",""98"",""95"",""96"",""96"",""97"",""99"",""99"",""99"",""98"",""99"",""98"","""","
"Arab World,""ARB"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""14.7442495111643"",""15.923093730528"",""22.6468523490334"",""26.0757317736354"",""31.649972039441"",""52.7349145496719"",""58.1884926447634"",""61.9559501205263"",""70.536164317331"",""76.3882808471073"",""76.998829985658"",""76.555569192237"",""75.3102036290325"",""75.9605186496799"",""75.5018374302458"",""77.1372226008895"",""79.6522775390758"",""79.2729064211167"",""81.7511484315027"",""81.9407836281239"",""81.8844751347253"",""81.4291281913537"",""81.488982160675"",""81.7031111802383"",""82.3213864539984"",""82.4918052744839"",""81.9844737496596"",""83.4440268922953"",""83.0656423014313"",""85.471680418996"",""86.8844270152542"",""86.9119681998321"",""84.048716397874"",""85.1679631348875"",""83.9129649766714"",""84.0038315814164"",""86.2465446225353"",""85.6861084586542"",""84.6070544552689"",""84.7317887611367"",""82.6457350397095"",""82.2111642808579"",""83.0195462125222"","""","
"United Arab Emirates,""ARE"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""34"",""42"",""41"",""51"",""53"",""60"",""67"",""71"",""74"",""78"",""80"",""82"",""85"",""90"",""90"",""90"",""90"",""95"",""95"",""96"",""94"",""94"",""94"",""94"",""94"",""92"",""92"",""92"",""92"",""93"",""94"",""95"",""96"",""98"",""99"",""99"",""99"",""99"",""99"",""99"",""99"",""99"",""98"","""","
"Argentina,""ARG"",""Immunization, measles (% of children ages 12-23 months)"",""SH.IMM.MEAS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""61"",""77"",""67"",""67"",""79"",""54"",""87"",""80"",""87"",""89"",""93"",""99"",""92"",""95"",""96"",""99"",""99"",""93"",""95"",""97"",""91"",""89"",""95"",""97"",""99"",""98"",""97"",""94"",""96"",""96"",""95"",""95"",""94"",""94"",""95"",""89"",""90"",""89"",""94"",""86"",""77"",""86"",""83"","""","
